TAM AMOSTRA,TEMPO,SPECS_ID
10000,11432,1
100,299,1
1000,1220,1
10000,15368,1
100,107,1
1000,1065,1
10000,10930,1
100,126,1
1000,1151,1
10000,12110,1
100,88,1
1000,900,1
10000,11775,1
100,121,1
1000,993,1
10000,12976,1
100,255,1
1000,2031,1
10000,15198,1
100,126,1
1000,1321,1
10000,15166,1
100,211,1
1000,1192,1
10000,10518,1
100,129,1
1000,1105,1
10000,11303,1
100,166,1
1000,1207,1
10000,13442,1
100,136,1
1000,1203,1
10000,14273,1
100,85,1
1000,953,1
10000,13554,1
100,216,1
1000,1622,1
10000,11178,1
100,102,1
1000,945,1
10000,11321,1
100,96,1
1000,956,1
10000,10593,1
100,136,1
1000,1278,1
10000,15850,1
100,118,1
1000,1028,1
10000,17233,1
100,165,1
1000,1155,1
10000,11601,1
100,262,1
1000,1267,1
10000,16299,1
100,188,1
1000,1414,1
10000,18209,1
100,116,1
1000,1059,1
10000,11257,1
100,131,1
1000,1120,1
10000,10329,1
100,167,1
1000,1535,1
10000,10524,1
100,128,1
1000,1148,1
10000,10457,1
100,217,1
1000,2046,1
10000,10665,1
100,135,1
1000,1130,1
10000,12114,1
100,165,1
1000,1192,1
10000,14233,1
100,304,1
1000,1640,1
10000,14171,1
100,121,1
1000,1014,1
10000,11705,1
100,266,1
1000,1927,1
10000,17940,1
100,104,1
1000,1014,1
10000,10208,1
100,160,1
1000,1213,1
10000,14068,1
100,129,1
1000,1125,1
10000,10621,1
100,310,1
1000,1091,1
10000,10620,1
100,147,1
1000,1112,1
10000,10441,1
100,133,1
1000,1039,1
10000,10225,1
100,147,1
1000,1350,1
10000,15459,1
100,173,1
1000,1251,1
10000,10821,1
100,137,1
1000,1164,1
10000,11251,1
100,165,1
1000,1564,1
10000,14136,1
100,138,1
1000,1273,1
10000,11051,1
100,274,1
1000,1467,1
10000,15505,1
100,235,1
1000,1279,1
10000,15954,1
100,91,1
1000,952,1
10000,13448,1
100,297,1
1000,1336,1
10000,14990,1
100,129,1
1000,1070,1
10000,13039,1
100,117,1
